"MANDT","WAERS","ISOCD","ALTWR","GDATU","XPRIMARY"
"001","MMK","MMK","104","00000000",""
"800","BDT","BDT","050","00000000",""
"800","USD","USD","840","00000000","X"
"001","MNT","MNT","496","00000000",""
"800","UYP","UYP","","00000000",""
"800","BEF","BEF","056","00000000",""
"001","MOP","MOP","446","00000000",""
"800","UYU","UYU","858","00000000",""
"001","MRO","MRO","478","00000000",""
"800","BGN","BGN","975","00000000",""
"800","UZS","UZS","860","00000000",""
"800","BHD","BHD","048","00000000",""
"001","MTL","MTL","470","00000000",""
"800","VEB","VEB","862","00000000",""
"001","MUR","MUR","480","00000000",""
"800","BIF","BIF","108","00000000",""
"800","VND","VND","704","00000000",""
"001","MVR","MVR","462","00000000",""
"800","BMD","BMD","060","00000000",""
"800","VUV","VUV","548","00000000",""
"800","BND","BND","096","00000000",""
"001","MWK","MWK","454","00000000",""
"800","WST","WST","882","00000000",""
"800","BOB","BOB","068","00000000",""
"001","MXN","MXN","484","00000000",""
"800","XAF","XAF","950","00000000",""
"800","BRL","BRL","986","00000000",""
"001","MYR","MYR","458","00000000",""
"800","XCD","XCD","951","00000000",""
"800","BSD","BSD","044","00000000",""
"800","XCU","XCU","","00000000",""
"001","MZM","MZM","508","00000000",""
"800","BTN","BTN","064","00000000",""
"800","XDS","","","00000000",""
"001","NAD","NAD","516","00000000",""
"800","BWP","BWP","072","00000000",""
"800","XEU","XEU","954","00000000",""
"001","NGN","NGN","566","00000000",""
"800","BYB","BYB","112","00000000",""
"800","XOF","XOF","952","00000000",""
"001","NIO","NIO","558","00000000",""
"800","BYR","BYR","974","00000000",""
"800","XPF","XPF","953","00000000","X"
"001","NLG","NLG","528","00000000",""
"800","BZD","BZD","084","00000000",""
"800","YER","YER","886","00000000",""
"001","NOK","NOK","578","00000000",""
"800","CAD","CAD","124","00000000",""
"800","YUM","YUM","891","00000000",""
"001","NPR","NPR","524","00000000",""
"800","CDF","CDF","976","00000000",""
"800","ZAR","ZAR","710","00000000",""
"001","NZD","NZD","554","00000000",""
"800","CFP","XPF","953","00000000",""
"800","ZMK","ZMK","894","00000000",""
"001","NZD5","NZD","554","00000000",""
"800","CHF","CHF","756","00000000",""
"800","ZRN","ZRN","180","00000000",""
"001","OMR","OMR","512","00000000",""
"800","CLP","CLP","152","00000000",""
"800","ZRZ","ZRZ","","00000000",""
"800","CNY","CNY","156","00000000","X"
"800","ZWD","ZWD","716","00000000",""
